iter	Passed	Remaining
1260	4702	32589
1261	4706	32584
1262	4710	32583
1263	4713	32579
1264	4717	32576
1265	4721	32572
1266	4724	32567
1267	4729	32568
1268	4732	32562
1269	4736	32556
1270	4739	32551
1271	4743	32547
1272	4746	32542
1273	4750	32537
1274	4753	32530
1275	4757	32525
1276	4760	32515
1277	4763	32511
1278	4766	32500
1279	4770	32497
1280	4772	32486
1281	4776	32484
1282	4779	32474
1283	4783	32472
1284	4787	32466
1285	4790	32461
1286	4793	32452
1287	4797	32451
1288	4800	32444
1289	4803	32436
1290	4807	32431
1291	4811	32430
1292	4815	32424
1293	4818	32416
1294	4822	32413
1295	4825	32409
1296	4829	32406
1297	4832	32396
1298	4836	32395
1299	4839	32389
1300	4844	32390
1301	4847	32382
1302	4850	32378
1303	4855	32376
1304	4859	32379
1305	4863	32379
1306	4867	32373
1307	4871	32372
1308	4875	32369
1309	4878	32364
1310	4882	32360
1311	4886	32355
1312	4889	32350
1313	4892	32341
1314	4896	32338
1315	4900	32335
1316	4904	32336
1317	4908	32331
1318	4912	32333
1319	4916	32327
1320	4920	32328
1321	4924	32326
1322	4927	32318
1323	4932	32318
1324	4935	32311
1325	4939	32313
1326	4943	32307
1327	4946	32301
1328	4950	32298
1329	4954	32298
1330	4959	32299
1331	4962	32294
1332	4966	32293
1333	4970	32288
1334	4974	32289
1335	4978	32284
1336	4981	32278
1337	4985	32276
1338	4998	32328
1339	5002	32330
1340	5007	32332
1341	5010	32326
1342	5014	32321
1343	5017	32317
1344	5021	32315
1345	5025	32309
1346	5029	32308
1347	5032	32297
1348	5036	32295
1349	5039	32289
1350	5043	32286
1351	5047	32283
1352	5051	32281
1353	5055	32281
1354	5058	32274
1355	5063	32274
1356	5066	32270
1357	5070	32268
1358	5074	32264
1359	5077	32258
1360	5081	32256
1361	5085	32252
1362	5089	32251
1363	5093	32246
1364	5097	32248
1365	5101	32242
1366	5105	32240
1367	5108	32237
1368	5112	32231
1369	5116	32227
1370	5120	32225
1371	5124	32225
1372	5128	32224
1373	5132	32220
1374	5135	32212
1375	5139	32209
1376	5143	32207
1377	5146	32203
1378	5151	32205
1379	5154	32194
1380	5158	32192
1381	5161	32188
1382	5165	32183
1383	5167	32171
1384	5171	32169
1385	5175	32163
1386	5178	32158
1387	5181	32151
1388	5185	32147
1389	5188	32140
1390	5192	32135
1391	5195	32130
1392	5199	32124
1393	5202	32117
1394	5205	32107
1395	5208	32104
1396	5212	32100
1397	5215	32090
1398	5218	32085
1399	5222	32078
1400	5224	32067
1401	5228	32066
